Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		tm7sf3
		clec19a
		anxa11b
		si:ch211-212k18.15
		crebbpb
		trim33l
		c1qtnf6b
		arhgap25
		si:dkey-40c23.2
		rbm39a
		foxp1b
		mef2d
		MYADM
		cpne3
		clint1a
		card11
		serinc5
		si:ch211-241b2.5
		znf217
		prkar1ab
		zgc:153151
		si:ch1073-322p19.1
		pdcd6
		tnfrsf1b
		ypel3
		kmt2ca
		rbbp6
		rhoaa
		zgc:172106
		TAGAP
		sumo1
		dennd4c
		bcl7bb
		tmem222a
		rttn
		znfx1
		rhoab
		pik3r5
		aga
		ppm1k
		zgc:112962
		trps1
		RNF14
		ube2l3b
		ubtf
		gig2e
		znf827
		dgkaa
		ubap2l
		usp44
		eif4e3
		pmaip1
		srrm1
		rps27l
		mhc2a
		BX324216.1
		slc25a3b
		si:ch211-284e13.11
		ppp1r18
		polr2a
		fgfr1op2
		prex1
		erp44
		capgb
		tmem30aa
		micall1a
		ppp4r2a
		kmt2e
		ifit11
		si:dkey-6e2.2
		si:ch73-27e22.1
		arhgef3l
		acp6
		hexa
		spg7
		zgc:153169
		ston2
		map3k22
		gosr2
		bsg
		prr5a
		eif5b
		si:ch211-222l21.1
		mep1b
		mxi1
		arhgef1b
		sf3b2
		zfp36l1a
		abhd4
		rab5ab
		zgc:92606
		zmp:0000001082
		scinlb
		sptssa
		waplb
		anapc16
		ZC3H12A
		si:ch211-191c10.1
		foxn2b
		flot1b
		spoplb
		gng5
		csnk1da
		ywhaba
		cmtm3
		btbd11b
		irf7
		tnfrsf1a
		nucb2a
		zgc:153654
		si:ch211-57i17.2
		pik3cg
		si:ch211-132g1.3
		slc6a7
		creb3l3l
		fabp3
		si:dkeyp-115e12.7
		il16
		pgbd4
		rhoac
		hexim1
		blzf1
		ftr98
		med13b
		spata2l
		pim1
		si:dkey-78k11.9
		tmem110l
		si:ch211-160o17.4
		Sep-06
		zgc:165583
		bcl11ba
		crkl
		tagln2
		vav3b.1
		hivep1
		pfkpa
		DDX17
		hnrnpua
		syngr2a
		arnt2
		tnksb
		aldoaa
		si:ch211-250k18.5
		rbm39b
		si:ch73-91k6.2
		r3hcc1l
		ggact.1
		LO018260.1
		tpi1b
		baz1b
		vamp3
		ifrd1
		selenof
		mt-nd3
		zbtb38
		hectd3
		ATP11B
		cry1a
		tmf1
		sesn2
		gapdhs
		nbr1a
		matr3l1.1
		ncoa3
		dhrs13b.1.1
		tmc6b
		rps9
		rasal2
		znrf1
		srsf5a
		ide
		itm2ba
		sdcbp2
		pstpip1a
		cds2
		hmgb1a
		rnft1
		mycbp2
		lpxn
		stk17b
		anxa6
		rplp0
		rnf185
		si:dkey-81j8.6
		chic2
		tmem176l.1
		vhl
		cpt1ab
		si:ch211-113e8.11
		esco1
		rnf13
		snx19b
		serinc2
		rab5aa
		bada
		si:dkey-193i10.1
		kif13ba
		zgc:113411
		abracl
		ezrb
		si:ch73-248e21.1
		selenoj
		nrm
		igf2bp2a
		tcp11l2
		aebp2
		ikbke
		arl6ip5b
		hsp90aa1.2
		smap1
		ddx61
		crebbpa
		aip
		zgc:103700
		si:dkey-28k24.2.3
		ftr08
		rps5
		peli1b
		birc6
		xrn1
		rpl11
		erbin
		mtmr14
		il17ra1b
		otud3
		si:ch211-163c2.2
		pla2g15
		nup210
		acy3.1
		mff
		h3f3b.1.1
		tes
		si:dkey-112e7.2
		slc35c1
		aff3
		pdk2b
		dhx8
		foxo4
		rpl7
		FP102786.1
		si:ch1073-296d18.1
		si:dkey-279j5.1
		ncor1
		eif4g1a
		fnbp1b
		dag1
		baz1a.1
		kmt5aa
		mhc2dab
		nek7
		cc2d1b
		n4bp1
		mob3c
		rnf10
		tnrc6c1
		sh3kbp1
		rab4b
		rergla
		si:ch211-114l13.9
		si:dkey-7j14.6
		gopc
		C7H19orf12.3
		klf6a
		idh1
		med31
		ciao1
		zyg11
		hsp90ab1
		ctsla
		cd40lg
		rpl30
		rhocb
		smarcd2
		tnrc18
		rbm4.2
		lsm14aa
		tspan37
		BX897691.1
		anks3
		htatip2
		fmr1
		snap23.1
		CU655842.1
		kcnh6a
		trim8b
		wbp1
		rest
		casp2
		adipor2
		adgrg3
		leng9
		nr1h3
		micu2
		upf1
		mt-atp6
		abcc5
		traf5
		cyldl
		prkd2
		prpf4ba
		crebrf
		ppiaa
		rnaset2
		CR933791.2
		antxr2a
		ppp1caa
		tab2
		ccr7
		hmgb2b
		rapgef6
		dock8
		zgc:172145
		cremb
		si:dkey-242e21.3
		si:ch211-213a13.1
		supt5h
		hbba1
		ccl36.1
		pgam1a
		ep300a
		tm9sf1
		pcyox1l
		bri3
		ankib1b
		pho
		sltm
		actr2a
		cd74a
		pus7l
		fam120c
		si:dkeyp-27c8.2
		pnisr
		usf1l
		sik2b
		hsdl2
		lasp1
		atxn2l
		kif20bb
		trip12
		ptpn1
		baz2a
		gpr55a
		atf6
		pak2a
		terfa
		sept9b
		smndc1
		rnf40
		stat6
		sbf1
		hbba1.1
		si:dkey-46g23.1
		si:ch211-214b16.3
		xiap
		etnk1
		si:dkey-222h21.10
		dazap2
		rab44
		grk6
		si:ch211-214b16.4
		ppp6r3
		marcksl1b
		mphosph8
		atf4b
		gmip
		trim62.2
		samd1b
		taf3
		cnot4b
		gatc
		ube4b
		spcs2
		ywhabb
		ftr50.3
		kmt2a
		jarid2b
		zgc:162339
		ca8
		ercc4
		yipf4
		si:ch211-76m11.8.1
		nab1b
		itga1
		ppp4cb
		si:dkey-182i3.11
		npepl1
		ggact.2
		eomesb
		acy1.1
		lgals2a
		per3
		CR381673.2
		atg12
		si:cabz01074946.1
		si:ch211-284f22.3
		ppt1
		rps18
		hbaa1
		slc35a4
		ube2g2
		triobpb
		mhc1uba
		tmem18
		cd44b
		amfra
		eif2ak3
		higd2a
		si:ch211-108d22.2
		smchd1
		waca
		erap1b
		fam50a
		sdhb
		snf8
		cmip
		ncoa2
		tm9sf2
		taf7
		phlda2
		trim35-19
		trmt10b
		stx2a
		psma2
		tspan33a
		setd1a
		dicer1
		rps6ka3a
		cahz
		pdcd10a
		nufip2
		cnppd1
		sh3gl1a
		gabpa
		trim35-28
		zgc:174945
		ywhaqb
		mepce
		rsl24d1
		rps2
		trim35-20
		vps25
		mt-nd1
		snrnp70
		chmp2bb
		zgc:175214
		si:ch73-285p12.4
		tshz2
		ubxn7
		hnrnpd
		dlgap4a
		siae
		hnrnpub
		nfatc2a
		mfap1
		mob4
		erap2
		dnase1l4.2
		si:ch211-103n10.5
		mt-nd4
		apaf1
		mkrn4
		bcl2l1
		tomm34
		rpl32
		nup98
		leo1
		si:ch211-223g7.2
		itpkb
		mia2
		niban1b
		wdr21.1
		si:dkey-42i9.4
		rap1aa
		zgc:55558
		cbx7b
		prpf8
		ccl34b.4
		gigyf1b
		si:dkey-58f10.11
		ypel5
		adprm
		si:ch211-250g4.3
		mzt2b
		nlrc9
		kctd13
		myo1g
		asxl2
		micall1b.2
		ctr9
		spast
		uhrf1bp1l
		chmp3
		spsb3a
		cox8a
		badb
		si:ch211-208f21.3
		spsb4b
		igflr1
		akirin2
		zcchc14
		cul3b
		ftr67
		usp7
		adap2
		si:dkey-238k10.1
		narf
		ankrd46a
		tsg101b
		ccni
		si:ch211-266c8.1.1
		scamp3
		zswim8
		lpar6b
		iqcc
		stim1a
		rnf169
		dcun1d5
		CR450686.1
		si:ch73-223f5.1
		maml1
		tmed7
		TXN
		yy1a
		tuba8l3
		atg9b
		helz
		ube2v2
		si:ch73-376l24.3
		dnajc5gb
		tmem106a
		eaf1
		shoc2
		rab22a
		soul4
		si:ch211-212k18.13
		rnf213b
		ehd1a
		lgals3a
		khdrbs1a
		zgc:92107
		rab7a
		gps2
		csnk1g2b
		gpkow
		mllt1a
		ube2d2
		stk24b
		brf1b
		si:ch211-5k11.8
		zc3h13
		slc2a13b
		pacc1
		CABZ01079480.1
		vsir
		arf6a
		gnal
		ATG2A
		rpl14
		mrpl12
		dbi
		prpf4bb
		phactr4a
		gigyf2
		si:dkey-67c22.2
		znrf2b
		si:dkey-79d12.5
		alas2
		smc6
		ptrh2
		rab6bb
		arhgap4b
		runx3
		slc30a7
		ptmab
		rb1
		mknk1
		dyrk4
		gnl1
		ppardb
		si:rp71-46j2.7
		si:dkey-192k22.2
		chuk
		trafd1
		ushbp1
		psme1
		dok2
		impa1
		acacb
		znf318
		si:dkey-19a16.11
		zmp:0000001139
		aff4
		brwd1
		slc7a3b
		CU571384.1
		zgc:113343
		nod2
		g3bp1
		ftr90.2
		syne1b
		ptpn13
		arhgef6
		ubxn10
		hiat1a
		romo1
		cnbpa
		jpt2
		si:ch73-1a9.3
		actb2
		hpcal1
		prkcbb
		acss1
		ntan1
		si:ch1073-440b2.1
		dnajc7
		rab5c
		si:ch211-207i20.2
		npc1
		sirt2
		CR385050.1
		saraf
		nkap
		rab11fip5a
		malt2
		nrbf2b
		prkab1b
		nap1l4b
		ufd1l
		trappc5
		trnau1apb
		FUT9.1
		si:dkey-78l4.4
		syap1
		ftr97.1
		nipal3
		fbxl8
		tnfaip8l2a
		si:ch211-204d2.4
		smim19
		march7.2
		pum1
		si:dkey-254e13.6
		tmem127
		arl6ip1
		otulina
		eno1a
		mbd1b
		tet2
		C10H21orf91
		emc7
		chd1
		tprb
		dock10
		clpxa
		snx25
		ITPRIP
		ada
		smek1
		zgc:163077
		kdm5c
		kmt2bb
		snap23.2
		si:dkey-230i18.2
		rbm4.3
		gpr137
		csnk1g2a
		rer1
		dap1b
		arrdc2
		ftr25
		ranbp9
		csk
		wu:fj29h11
		cbx7a
		mrpl33
		ftr07
		si:ch1073-429i10.3
		chchd2
		atg13
		cnot1
		cry3b
		mfsd12a
		si:dkeyp-115e12.6
		stk39
		stmn1a
		slc24a2
		sertad2b
		zgc:172079
		arfgap3
		ece2b
		smg7
		irf2bp1
		gpia
		ddit3
		si:ch211-233a24.2
		ythdf1
		wdr24
		CABZ01087948.1
		bzw1a
		yipf6
		il10rb
		map2k2a
		lcp1
		fam151b
		CR382337.1
		arf2a
		vps37a
		uso1
		samsn1a
		si:dkey-16p21.8
		inka2
		sirt1
		nucb1
		fut8a
		cxcr3.3
		vcp
		maf1
		rps12
		sox4a.1
		pum2
		crot
		siva1
		ube2h
		fam199x
		eapp
		ss18l2
		med15
		atf4a
		tnk1
		si:dkey-28k24.2.1
		mfsd6a
		mapk14a
		cotl1
		rbmx2
		pds5b
		ube2ia
		pcf11
		smim7
		mxe
		hmgn7
		tec
		xpo6
		rc3h1a
		sde2
		dhx58
		sec14l1
		mon2
		ube2q2
		ubl3b
		ccl20a.3
		banf1
		dhrs13a.3
		snw1
		phrf1
		arfgef1
		mrc1a
		si:dkey-182i3.8
		ptpn23a
		stimate
		card19
		cers1
		gramd2aa
		wdr45
		irs2b
		itpr1b
		fxyd1
		mars1
		ptk2ba
		cdipt
		h1-0
		rbm5
		ppip5k2
		gtf2f1
		srsf2a
		wdr26b
		usf3
		BX323861.3
		elf2a
		engase
		stag2b
		si:ch211-191c10.3
		ube2l3a
		lbh
		psma6l
		cog4
		gna13b
		naa15b
		CAPN1
		kdm4b
		cptp
		map4k5
		mtmr1a
		ppp1cab
		slc7a6os
		spry2
		toporsa
		nop53
		rbm33a
		mindy1
		nfe2l2a
		nsd3
		slc47a2.2
		ttf2
		zgc:162698
		gpr174
		ifngr2
		rnf103
		ncapg2
		si:ch211-196h16.5
		gpalpp1
		tmem115
		syne1a
		rplp1
		HNRNPLL
		cd28l
		cactin
		zgc:110171
		si:ch211-214p13.8
		cops7a
		si:ch211-76m11.8.2
		fam162a
		ckbb
		si:dkey-50i6.5
		calm1a
		rpl10
		si:dkey-222b8.1
		ccr2.1
		gnai2b
		spice1
		etv7
		gpn2
		btr20
		pfkpb
		rnd2
		epn2
		crfb1
		dnajb9b
		dennd2db
		rhbdd1
		med21
		nlrc7
		ubald1b
		mhc1zaa
		eif4a1a
		usp8
		taok2a
		SAMD9
		bsdc1
		BX664625.1
		ldha
		patl1
		rrn3
		pdcd6ip
		araf
		srpk1a
		si:dkey-238k10.2
		kdm1a
		cox7c
		prrg4
		si:zfos-2326c3.2
		sdhaf4
		sp100.3
		cnbpb
		rpl10a
		mafa
		si:dkey-265e15.2.1
		scarb2a
		hemgn
		rpl15
		mgat5
		usp11
		rock1
		eef1b2
		sat1b
		lsm12b
		atp5mc3b
		si:ch1073-392o20.2
		si:ch211-227e10.3
		ikbkb
		pld7
		mrtfab
		si:dkey-42i9.6
		mctp1a
		stam2
		rps28
		scnm1
		nuak2
		nocta
		kat7a
		zdhhc15b
		fadd
		celf2
		si:ch211-209f23.6
		ABR
		pax3a
		pmp22a
		hdac10
		si:dkey-183p4.10
		mov10a
		eif1b
		rpl22
		upf3b
		pdk4
		hmgn6
		atg4a
		arid1aa
		sec61g
		mycn
		BX664625.5
		adam17a
		sptlc3
		rnf115
		rps11
		znf646
		ercc6l
		casp22
		hnrnpa0l.1
		selenot1a
		ing3
		man1b1b
		adgrg1
		rnf11a
		MED9
		rad21a
		apbb1ip
		man2a1
		acaa2
		dffb
		ftr79
		lsm14ab
		id1
		tmub1
		taf13
		si:dkey-66i24.7
		crestin
		mdh1aa
		gpr158a
		prkcq
		synrg
		dcaf8
		faf2
		btr09
		scaf1
		cd164
		wdr62
		CU984600.3
		ptbp3
		RAPGEF2
		tfap2e
		rdh8a
		magt1
		mxa
		pdap1a
		ube2z
		vps13d
		cnn3b
		MCUR1
		med12
		cd247l
		rgs17
		sgpl1
		ran
		selenos
		fxr2
		ccl38a.4
		ssh2b
		cecr2
		si:dkeyp-80d11.10
		reep3b
		rps15
		zgc:161969
		si:ch73-264p11.1
		ripk3
		tmem251
		syf2
		zfhx3
		arid5a
		zgc:113184
		pigm
		prdx2
		baz1a
		tmem199
		BX000363.1
		zmp:0000000912
		ipo7
		USP53
		kdm7ab
		zgc:153759.1
		ak1
		xpr1b
		foxo1b
		zgc:153993
		tmem185
		cnn2
		dcun1d2b
		bzw1b
		ptprea
		stx5a
		si:ch211-114c12.2
		hmgb2a
		arhgap4a
		si:ch211-173d10.4
		ift46
		rps6kal
		tkfc
		atf7ip
		uba1
		tmub2
		mau2
		brd1b
		rpl38
		zmiz1a
		fli1b
		znhit1
		cdk9
		psme4b
		zgc:174863
		eif3c
		yipf1
		ctdsp1
		bmpr2a
		dpp3
		hadhb
		commd3
		gzm3.4
		msl2a
		marcksb
		mfn1b
		afmid
		cast
		tmem68
		chmp4bb
		uqcc3
		prkcab
		camk2g1
		invs
		arrdc1b
		psmb3
		htt
		med29
		ostf1
		tomm20b
		rbm25b
		tmem184c
		si:ch211-160o17.2
		faua
		pcmtd2a
		fxr1
		dnm2a
		pet100
		gon4l
		nup214
		bend5
		pan3
		rpl37.1
		tmem214
		rpl5a
		cpda
		ube2na
		PPP2CA
		pfn2l
		faah2a
		rps24
		plcg2
		ap3d1
		pleca
		ep300b
		btr29
		si:ch211-218c6.8
		trip11
		arid4a
		tor1l3
		cebpb
		nfe2l1b
		setd2
		gga1
		gclm
		fibpa
		hsp70.3
		myb
		nxt2
		hs6st1b
		eif1ad
		tnrc6b
		cox4i1l
		tk2
		ago4
		kdm4ab
		tmem189
		ccdc9
		nkrf
		stard3
		si:ch211-281g13.4
		phtf1
		mia3
		rnpepl1
		clk2b
		kif14
		eif5a2
		fgd4b
		galnt6
		sinhcafl
		rell1
		fam214a
		ISCU
		blvrb
		gadd45ga
		sf3a1
		brd8
		man2c1
		ndufa11
		si:ch211-26b3.4
		ppm1g
		si:ch73-252p3.1
		otub1a
		clk4a
		pex26
		si:ch211-183d5.2
		cxcl19
		lrsam1
		SMIM10
		leng8
		grinab
		sfpq
		CABZ01064472.1
		unc119.1
		casp3b
		med19a
		prdx6
		mettl4
		gstm.1
		dis3l2
		srsf6b
		rab4a
		ptger4b
		lmnb2
		acy3.2
		si:dkey-31c13.1
		pde3b
		ppp2cb
		derl2
		tmsb2
		mpp1
		rasgrp3
		im:7138535
		pcbd1
		CABZ01020840.1
		pdpk1b
		GCNT4
		gtf3c2
		chchd7
		npm1a
		thoc2
		si:dkey-12e7.1
		FOXK2
		frg1
		stat3
		tapbp.2
		psmf1
		prkcsh
		cd8a
		irak1
		tut4
		tspo
		ctdnep1a
		rab11ba
		ptp4a3b
		si:dkeyp-121d4.3
		zgc:172133
		rgp1
		ppp2r5ea
		eif2s1a
		cops9
		dgkzb
		si:ch211-71m22.3
		zdhhc18b
		gzm3.3
		FO905040.1
		tap2t
		ptprr
		zgc:162472
		rb1cc1
		pafah1b1b
		sh3bp2
		snx17
		antkmt
		zgc:158803
		fbxo7
		tpra1
		ap1s2
		ccnt2b
		brd4
		BX004857.1
		ric8b
		ctss2.1
		zgc:152658
		prdx1
		srcap
		si:dkey-21c1.1
		ptpn2b
		stx11a
		si:dkey-172k15.11
		si:ch211-288g17.3
		cdc14b
		tollip
		znf654
		parp12b
		xab2
		FO704661.1
		tmem131
		ankhd1
		FAM72B
		eif3ea
		map3k7
		mbnl1
		plekhj1
		si:dkey-72l17.5
		si:dkey-276j7.2
		spag1a
		dido1
		ogt.1
		phf12b
		tspan36
		scocb
		gcdha
		selplg
		ino80b
		gnb4b
		dgkza
		nanos1
		sgk1
		ift20
		adnpa
		ubash3ba
		nt5c2l1
		fubp1
		jkamp
		si:dkey-188i13.6
		bin2b
		CIR1
		znf143b
		pora
		parp9
		si:dkeyp-84f3.5
		nuggc.2
		lpar6a
		psma1
		dusp5
		BX511080.1
		rabl3
		myca
		dennd2da
		cbx3a
		exoc1
		spry4
		huwe1
		armh3
		nfatc2b
		nsfb
		dhx15
		epb41b
		cltcb
		rab2a
		glipr1a
		ptena
		si:dkey-199f5.8
		nf1a
		zgc:158564
		rybpb
		psma8
		psmb7
		si:ch211-196f19.1
		ino80
		sel1l
		phf3
		lman2lb
		acsl4a
		hif1al
		mhc2b
		mier1a
		dyrk1ab
		max
		cables2a
		akap17a
		galnt10
		zgc:171695
		si:dkey-34d22.2
		adh5
		smad3a
		fosab
		tbcela
		si:ch211-261n11.7
		prkcda
		pgpep1
		cmtr1
		wipf2a
		ywhae1
		zgc:162872
		nacc1b
		szrd1
		avl9
		atxn7l2b
		spcs3
		cdc42
		zgc:152791
		si:dkey-11n14.1
		tlk2
		nampta
		ap4m1
		mlx
		dok4
		tars1
		il17ra2
		zgc:194312
		si:ch211-241f5.3
		pycr1a
		si:dkey-51d8.1
		oprm1
		si:ch211-195d17.2
		mast2
		mtmr8
		si:ch211-214j24.10
		rprd2a
		pitpnaa
		arg2
		fra10ac1
		znf831
		mapk6
		dnajb12a
		sox10
		ddx39aa
		trappc4
		rps21
		mapk14b
		zgc:113263
		sh3bgrl
		psap
		slc6a2
		si:ch73-44m9.3
		tmcc3
		hic1l
		rnf44
		arih1l
		mpzl1l
		mon1a
		ahnak
		prdm4
		si:dkey-29j8.1.2
		nsmaf
		ap2a1
		prkag1
		pcmtd1
		bpnt1
		ssr2
		fosl1a
		ifng1
		MYO9B
		elf2b
		ENSDARG00000105068
		pmm1
		puf60a
		uxt
		hipk3b
		nras
		tmx1
		arl5a
		abcd2
		ftr50
		gpx1a
		sin3ab
		map7d3
		gtf2e2
		hmox2b
		hsp70.2
		rnf24
		matr3l1.1.1
		si:dkey-22a18.2
		asb12a
		fuca2
		aph1b
		shq1
		vdac3
		ak2
		papola
		ppiab
		cbx8a
		u2af2b
		tcp1
		pde4ba
		mtbl
		epn1
		mibp
		phlpp1
		atp13a1
		zdhhc16b
		si:ch211-25d12.7
		mov10b.1
		taok3a
		emp3b
		utrn
		rps27.1
		clcn5b
		cadm4
		cd2bp2
		si:ch73-37h15.2
		letm2
		snrpd1
		inpp5ka
		zzef1
		arid1b
		slc25a24
		gpm6ab
		scaf4b
		ivns1abpa
		CU984600.2
		mbtd1
		itpka
		gtf2f2a
		rpl35a
		smc5
		ehbp1l1a
		cdc27
		ubr4
		lims1
		sh3glb1a
		mospd1
		chfr
		pkn1a
		itk
		dyrk3
		uqcrb
		gucd1
		spg21
		si:ch211-196c10.15
		si:ch211-207c6.2
		ggh
		pja2
		tsc22d2
		zfx
		qsox1
		nudt17
		fbxo18
		acot9.1
		ppcs
		cox5aa
		ATG14
		si:ch211-212g7.6
		ube2q1
		jak2b
		dazap1
		si:zfos-943e10.1
		gtf2e1
		rab1ba
		dock11
		slc38a10
		GOLPH3
		hmgb3a
		lrrc47
		ccdc88c
		SGMS1
		tbc1d1
		phf21ab
		rcor3
		ube2w
		dnajc19
		zbtb11
		scyl1
		itgb1b
		med14
		cyp2u1
		arpc5a
		RSBN1
		ip6k2b
		vps37c
		map3k3
		icam3
		mvp
		zgc:77486
		si:ch211-250k18.6
		gba
		paip2b
		nudt8
		asxl1
		zc3h18
		slc4a1a
		ppp1r16b
		cbl
		tmem234
		arih2
		nrbp1
		mrtfbb
		tcima
		plaa
		trim33
		pds5a
		mbtps2
		AL935186.1
		rpl35
		pik3c2a
		phyh
		ppifb
		zgc:195282
		bet1l
		recql
		si:ch73-168d20.1
		dnajc4
		brms1la
		mcrs1
		hip1
		atp5pd
		BX548028.1
		lonp2
		slc7a6
		si:ch211-11n16.2
		hax1
		si:ch211-106e7.2
		zufsp
		pfn2
		lrrc45
		slc25a14
		si:ch73-334d15.2
		ggps1
		pik3r4
		slc48a1b
		pias2
		chd7
		tceanc2
		sesn1
		ccnt1
		grap2a
		gnptg
		wsb1
		nitr4a
		pcnt
		si:ch1073-335m2.2
		zbtb7b
		armt1
		foxp3b
		si:dkey-3p4.1
		rnh1
		itpkcb
		ap1g1
		emc3
		tbc1d10b
		chmp5b
		mdm2
		cdca4
		eif4a3
		tmed9
		nudt5
		ftr16
		si:dkey-57k2.7.1
		golga3
		rilp
		si:ch211-196h24.1
		fynb
		si:dkey-188i13.10
		bnip4
		dbnlb
		ccnl1b
		si:ch73-71d17.2
		CU468041.2
		selenot1b
		atp5if1a
		nubp1
		BX120005.2
		oaz1a
		dstyk
		slc38a2
		ctsa
		rnf8
		kidins220b
		jade3
		si:ch211-114l13.12
		rps19bp1
		glud1b
		xpot
		natd1
		hexdc
		im:7142702
		tuba1b
		gmeb1
		si:ch211-214c20.1.1
		pdk2a
		adgre5a
		uba7
		ppp2r3c
		ap4e1
		mettl7a.1
		adipor1b
		alyref
		phf12a
		camk1da
		kctd10
		ap2s1
		stat5a
		tmem165
		dpm2
		sbno2a
		crebzf
		slc10a7
		fa2h
		C7H19orf12.1
		ppp1cb
		cyfip2
		dnajc5ab
		atp2a2b
		BX284696.1
		junbb
		mitfa
		ppp1r2
		sfmbt2
		cpsf3
		uck2a
		CABZ01090373.1
		fnbp4
		trim25
		sgta
		tmsb
		ccnl1a
		ralba
		als2b
		rnf20
		hspg2
		pttg1ipb
		cmya5
		pi4kaa
		rbm8a
		lonrf1
		gpt2
		itpr3
		hspe1
		mapkapk2a
		mgat1a
		clec16a
		ngrn
		spata2
		bcl7ba
		znf292b
		acp2
		cxxc5a
		si:dkey-68o6.6
		plpp5
		piga
		btf3l4
		kcnq2a
		pop4
		rps6ka4
		gosr1
		cirbpa
		si:dkey-11f4.20
		sec63
		si:dkey-58f10.10
		farsb
		sumo2b
		psmb6
		grk4
		USP34
		srfb
		gnaia
		abcb9
		ptp4a3a
		abca3b
		nupr1b
		gemin7
		tmem259
		coq7
		cavin1b
		nfkb1
		raf1b
		serpinb1l1
		si:ch73-376l24.2
		si:cabz01080528.1
		gpr107
		sart1
		zhx2a
		ago3a
		puf60b
		eef2b
		ankrd13c
		scaf11
		derl1
		stx17
		zgc:153901
		rps17
		zfand5b
		fosb
		f3b
		kat8
		RAB35
		pargl
		ralgapb
		jak3
		si:dkey-169i5.4
		tegt
		tomm70a
		qrsl1
		mfsd4b
		gramd1c
		irgf1
		sccpdhb
		usp36
		tial1
		zgc:100918
		btg3
		si:ch211-133n4.4
		uvssa
		si:ch73-109i22.2
		cul1b
		eif4ebp1
		erh
		si:dkey-211i20.2
		svila
		nlrc3l
		znf740a
		tor1
		flad1
		ftr04
		iqgap2
		arl6ip6
		si:ch211-149e23.4
		GPATCH2
		rpz5
		abhd16a
		zfand5a
		ccdc84
		si:ch211-282j22.3
		smim14
		si:ch211-196l7.4
		rnf25
		zgc:163057
		stx16
		bccip
		gtdc1
		ndrg1a
		aclya
		zgc:85936
		gpank1
		si:ch73-55i23.1
		ecrg4a
		tiparp
		paqr3a
		zgc:66474
		pgap4
		SLC9A1
		pdap1b
		CABZ01115113.1
		sugt1
		ubtfl
		ubb
		rasd1
		m6pr
		lonrf1l
		phf11
		mark2a
		ube2j2
		zbtb2a
		gsr
		si:dkey-92f12.2
		DHDH
		ewsr1b
		ptpn2a
		arhgap29b
		pigc
		nos1apa.1
		virma
		prkci
		rnf144b
		atg5
		socs3a
		hist2h2l
		marcksl1a
		zmp:0000000735
		CU861903.1
		si:ch211-207n23.2
		bcas2
		ybx1
		tasor2
		fam32a
		ubr5
		tbc1d15
		harbi1
		atxn7l2a
		arl1
		atp5md
		ciz1b
		si:dkey-28i19.3
		znf207a
		dcaf5
		smarca4a
		usp47
		lamtor2
		si:dkey-286j15.3
		nfil3-5
		pacs1a
		gig2p
		atp11c
		gtpbp6
		glyr1
		gnas
		CABZ01073795.1
		wnk1b
		pank4
		si:ch211-22k7.9
		polk
		tia1
		ubap2b
		acad9
		scyl3
		si:ch211-284e13.6
		ints1
		s100a10b
		sh3gl3a
		mov10b.2
		pdcd10b
		tpp2
		NDUFB1
		zc3h14
		hnrnph3
		akirin1
		adcy7
		tulp4a
		yipf3
		zgc:56095
		cxxc1a
		arf4a.1
		hsp70.1
		si:ch211-195e19.1
		b4galt6
		ablim1b
		cox6c
		slc37a1
		bag6
		caprin1b
		nop56
		si:dkey-222h21.2.1
		chd4a
		spcs1
		exo5
		roraa
		zgc:92907
		tgfbr2b
		ubfd1
		ubr3
		tnfsf14
		tecpr2
		rhbdd3
		cul3a
		esyt1b
		prss12
		lamp2
		ankha
		ilf2
		commd1
		si:ch73-46j18.5
		vamp5
		APH1A
		nsd1a
		sap30bp
		rgcc
		vps13a
		sec24d
		usp48
		ogt.1.1
		necap2
		tbl1x
		larp4b
		bcap31
		rdh10b
		atp11a
		tmem30ab
		hnrnph1l
		dapk3
		exoc4
		gskip
		bbc3
		tdh2
		BX572619.1
		phf23b
		si:dkey-172k15.6
		rsrc2
		vps28
		vps35
		trpm1b
		nudt22
		si:dkey-260j18.2
		dcakd
		atp5mc3a
		rmnd5b
		dr1
		il34
		snx9b
		eif3s10
		si:zfos-80g12.1
		zrsr2
		eny2
		csrp2
		wtap
		fcer1gl
		si:dkey-79f11.9
		sparc
		sod2
		cnot3a
		otulina.1
		si:ch73-56d11.5
		maea
		vrk2
		axin1
		zc3h7bb
		zgc:101562
		sftpbb
		HTRA2.6
		blcap
		si:ch211-255g12.8
		brd3a
		kin
		tipin
		si:ch73-252i11.1
		nbr1b
		ik
		FO904868.2
		sil1
		thoc7
		sgsm3
		ppil2
		prelid1b
		eloca
		sdf4
		gatd3a
		hipk1a
		sem1
		si:ch211-91p5.3
		clk4b
		mbtps1
		si:dkey-23k10.5
		dhx38
		CABZ01058721.1
		usp12b
		tmem53
		ftr14
		capn5a
		arglu1a
		ppp6r2a
		ccng1
		mt-nd2
		ubald1a
		ubr2
		si:dkey-43f9.4
		ube3a
		rad50
		mta3
		si:dkey-27p18.3
		zgc:101679
		dnajc14
		bckdk
		hmgb3b
		klhl11
		ppp4r2b
		uqcrc2b
		ppib
		ankrd13a
		dgcr8
		slf2
		usf1
		coq4
		gcc1
		gzmk
		xrcc3
		pi4k2a
		carhsp1
		p2rx1
		atf7b
		nfkbil1
		cd8b
		si:ch1073-184j22.1
		tm9sf3
		coq10b
